form,freq
ʂɤŋ˥˥,1
ʂɤŋ˥˥,1
ʂoʊ˥˥,1
ʂoʊ˥˩,1
ʂoʊ˨˩˦,1
ʂu˥˥,1
ʂu˥˩,1
ʂu˥˩,1
ʂuɔ˥˥,1
ʂweɪ˥˩,1
ʂweɪ˨˩˦,1
ta˥˩,1
ta˥˩,1
ta˧˥,1
ta˨˩˦,1
ta˨˩˦,1
taɪ˥˩,1
taɪ˥˩,1
taɪ˥˩,1
taɪ˥˩,1
tan˥˥,1
tan˥˥,1
tan˥˩,1
tan˥˩,1
tan˥˩,1
tan˥˩,1
tan˥˩,1
tɑŋ˥˥,1
tɑʊ˥˩,1
tɑʊ˥˩,1
tɑʊ˨˩˦,1
tɑʊ˨˩˦,1
tɕʰi˥˥,1
tɕʰi˥˩,1
tɕʰi˥˩,1
tɕʰi˧˥,1
tɕʰi˧˥,1
tɕʰi˧˥,1
tɕʰi˧˥,1
tɕʰi˨˩˦,1
tɕʰɪn˥˥,1
tɕʰɪŋ˥˥,1
tɕʰɪŋ˥˥,1
tɕʰɪŋ˧˥,1
tɕʰɪŋ˨˩˦,1
tɕʰja˨˩˦,1
tɕʰjɑŋ˥˥,1
tɕʰjɑŋ˧˥,1
tɕʰjɑʊ˧˥,1
tɕʰjɛ˨˩˦,1
tɕʰjɛn˧˥,1
tɕʰjɛn˧˥,1
tɕʰjoʊ˧˥,1
tɕʰjoʊ˧˥,1
tɕʰɥœ˥˩,1
tɕʰɥœ˥˩,1
tɕʰɥœn˧˥,1
tɕʰɥœn˧˥,1
tɕʰɥœn˧˥,1
tɕʰy˥˥,1
tɕʰy˥˩,1
tɕʰy˧˥,1
tɕi˥˥,1
tɕi˥˥,1
tɕi˥˥,1
tɕi˥˩,1
tɕi˥˩,1
tɕi˥˩,1
tɕi˧˥,1
tɕi˧˥,1
tɕi˧˥,1
tɕi˧˥,1
tɕi˧˥,1
tɕɪn˥˥,1
tɕɪn˥˥,1
tɕɪn˥˩,1
tɕɪn˨˩˦,1
tɕɪn˨˩˦,1
tɕɪŋ˥˥,1
tɕɪŋ˥˩,1
tɕɪŋ˨˩˦,1
tɕɪŋ˨˩˦,1
tɕja˥˥,1
tɕja˥˥,1
tɕja˥˥,1
tɕja˥˩,1
tɕjɑŋ˥˥,1
tɕjɑŋ˨˩˦,1
tɕjɑʊ˥˥,1
tɕjɑʊ˥˩,1
tɕjɑʊ˥˩,1
tɕjɑʊ˨˩˦,1
tɕjɛ˥˥,1
tɕjɛ˧˥,1
tɕjɛ˧˥,1
tɕjɛ˧˥,1
tɕjɛ˨˩˦,1
tɕjɛn˥˥,1
tɕjɛn˥˩,1
tɕjɛn˥˩,1
tɕjɛn˥˩,1
tɕjɛn˨˩˦,1
tɕjoʊ˥˩,1
tɕjoʊ˥˩,1
tɕjoʊ˥˩,1
tɕjoʊ˨˩˦,1
tɕɥœ˧˥,1
tɕɥœ˧˥,1
tɕɥœ˧˥,1
tɕy˥˩,1
tɕy˧˥,1
tɕyn˥˥,1
tɤ˧,1
tɤ˧˥,1
tɤ˧˥,1
tɤ˧˥,1
tɤŋ˥˥,1
tɤŋ˨˩˦,1
tʰa˥˥,1
tʰa˥˥,1
tʰa˥˥,1
tʰa˥˥,1
tʰa˨˩˦,1
tʰaɪ˥˩,1
tʰaɪ˥˩,1
tʰaɪ˥˩,1
tʰan˥˩,1
tʰan˧˥,1
tʰɤ˥˩,1
tʰi˥˩,1
tʰi˧˥,1
tʰi˧˥,1
tʰi˨˩˦,1
tʰɪŋ˥˥,1
tʰɪŋ˧˥,1
tʰjɑʊ˥˩,1
tʰjɑʊ˧˥,1
tʰjɛn˥˥,1
tʰoʊ˧˥,1
tʰu˧˥,1
tʰuɔ˥˥,1
tʰuɔ˥˥,1
tʰʊŋ˥˥,1
tʰʊŋ˧˥,1
tʰʊŋ˨˩˦,1
ti˥˩,1
ti˥˩,1
ti˥˩,1
ti˧˥,1
tɪŋ˥˩,1
tjɑʊ˥˩,1
tjɑʊ˥˩,1
tjɛ˧˥,1
tjɛn˥˩,1
tjɛn˥˩,1
tjɛn˨˩˦,1
tsaɪ˥˩,1
tsaɪ˥˩,1
tsan˧˥,1
tsɑʊ˨˩˦,1
tsɑʊ˨˩˦,1
tsən˨˩˦,1
tsɤ˧˥,1
tsɤ˧˥,1
tsɤ˧˥,1
tsʰaɪ˥˥,1
tsʰaɪ˧˥,1
tsʰaɪ˧˥,1
tsʰan˥˥,1
tsʰɑʊ˥˥,1
tsʰɤŋ˧˥,1
tsʰuɔ˥˩,1
tsʰɯ˥˩,1
tsʰɯ˨˩˦,1
tsʰʊŋ˥˥,1
tsʰʊŋ˧˥,1
tsoʊ˨˩˦,1
tsoʊ˨˩˦,1
tsoʊ˨˩˦,1
tsu˨˩˦,1
tsuɔ˥˩,1
tsuɔ˥˩,1
tsuɔ˥˩,1
tsuɔ˧˥,1
tsɯ˥˥,1
tsɯ˥˩,1
tsɯ˥˩,1
tsɯ˥˩,1
tsɯ˥˩,1
tsɯ˥˩,1
tsɯ˥˩,1
