word,freq,english,german,sound,spell
klaɛdn,1,0,1,1,0
klaːʁ,1,0,1,1,0
knɔxn,1,0,1,1,0
koloniː,1,0,1,1,0
kɔntinɛnt,1,0,1,1,0
kɔntʁɔle,1,0,1,1,0
kʁiːk,1,0,1,1,0
kuː,1,0,1,1,0
kʊʁs,1,0,1,1,0
kʊʁts,1,0,1,1,0
laɔfn,1,0,1,1,0
lastvaːɡŋ,1,0,1,1,0
leːbmsmɪtl,1,0,1,1,0
leːʁen,1,0,1,1,0
leːzn,1,0,1,1,0
lɛʁnen,1,0,1,1,0
løːzn,1,0,1,1,0
løːzʊŋ,1,0,1,1,0
lant,1,0,1,1,0
laɔt,1,0,1,1,0
lɛʁm,1,0,1,1,0
liːt,1,0,1,1,0
lɪçt,1,0,1,1,0
lʊft,1,0,1,1,0
maːsʃtaːp,1,0,1,1,0
mɛːtçen,1,0,1,1,0
mɛnɐ,1,0,1,1,0
mɛse,1,0,1,1,0
miːne,1,0,1,1,0
mɪtaːk,1,0,1,1,0
moːnat,1,0,1,1,0
mʊstɐ,1,0,1,1,0
maːln,1,0,1,1,0
man,1,0,1,1,0
maʁkt,1,0,1,1,0
mateʁiaːl,1,0,1,1,0
melodiː,1,0,1,1,0
mɛnʃ,1,0,1,1,0
miːɐ,1,0,1,1,0
mɪt,1,0,1,1,0
molekyːl,1,0,1,1,0
motoːɐ,1,0,1,1,0
mʊltiplitsiːʁen,1,0,1,1,0
mʊnt,1,0,1,1,0
mʊs,1,0,1,1,0
naːme,1,0,1,1,0
neːmen,1,0,1,1,0
niːdʁɪç,1,0,1,1,0
naːx,1,0,1,1,0
natyːɐlɪç,1,0,1,1,0
natsioːn,1,0,1,1,0
naxt,1,0,1,1,0
nɪçts,1,0,1,1,0
nɔœ,1,0,1,1,0
nɔœn,1,0,1,1,0
nɔx,1,0,1,1,0
nuːɐ,1,0,1,1,0
oː,1,0,1,1,0
ɔpʝɛkt,1,0,1,1,0
ɔpvoːl,1,0,1,1,0
poːze,1,0,1,1,0
paːʁ,1,0,1,1,0
paʁtaɛ,1,0,1,1,0
paʁtituːɐ,1,0,1,1,0
pfeːɐt,1,0,1,1,0
pfleːɡe,1,0,1,1,0
pfʊnt,1,0,1,1,0
pɪstoːle,1,0,1,1,0
plœtslɪç,1,0,1,1,0
plaːn,1,0,1,1,0
pozitsioːn,1,0,1,1,0
pʁɛse,1,0,1,1,0
pʁobleːm,1,0,1,1,0
pʁotsɛs,1,0,1,1,0
ʁaɛfn,1,0,1,1,0
ʁeːde,1,0,1,1,0
ʁeːɡl,1,0,1,1,0
ʁeːɡln,1,0,1,1,0
ʁɪçtɪç,1,0,1,1,0
ʁʊnde,1,0,1,1,0
ʁekɔʁt,1,0,1,1,0
ʁɛst,1,0,1,1,0
ʁoːt,1,0,1,1,0
stɪk,1,0,1,1,0
stʁɛtʃ,1,0,1,1,0
ʃaɛnen,1,0,1,1,0
ʃaŋse,1,0,1,1,0
ʃɑ̃ːse,1,0,1,1,0
ʃuːle,1,0,1,1,0
ʃʊltɐ,1,0,1,1,0
ʃyːlɐ,1,0,1,1,0
ʃaŋs,1,0,1,1,0
ʃɑ̃ːs,1,0,1,1,0
ʃlɛçt,1,0,1,1,0
ʃnɛl,1,0,1,1,0
ʃnɪt,1,0,1,1,0
ʃnuːɐ,1,0,1,1,0
ʃpaːʁen,1,0,1,1,0
ʃpaɛçe,1,0,1,1,0
ʃpalte,1,0,1,1,0
ʃpaːs,1,0,1,1,0
ʃpiːl,1,0,1,1,0
ʃpiːln,1,0,1,1,0
ʃpʁɛçn,1,0,1,1,0
ʃʁaɛbm,1,0,1,1,0
ʃʁiːp,1,0,1,1,0
ʃtaʁk,1,0,1,1,0
ʃtaʁt,1,0,1,1,0
ʃtat,1,0,1,1,0
ʃtʁoːm,1,0,1,1,0
ʃtʏk,1,0,1,1,0
ʃuː,1,0,1,1,0
taːtzaxe,1,0,1,1,0
taɛl,1,0,1,1,0
tɛmpeʁatuːɐ,1,0,1,1,0
tiːɐ,1,0,1,1,0
toːn,1,0,1,1,0
tʁaːɡŋ,1,0,1,1,0
tsaɛçn,1,0,1,1,0
tsɛle,1,0,1,1,0
tsɛntʁʊm,1,0,1,1,0
tsiːmlɪç,1,0,1,1,0
tsuːʃtant,1,0,1,1,0
tsaːln,1,0,1,1,0
tseːn,1,0,1,1,0
tsuː,1,0,1,1,0
tsuːʁʏk,1,0,1,1,0
tsvaɛte,1,0,1,1,0
tsvaɛk,1,0,1,1,0
ʊntɐlasn,1,0,1,1,0
vaːʁʃaɛnlɪç,1,0,1,1,0
vaʁtn,1,0,1,1,0
vasɐ,1,0,1,1,0
veːnɪç,1,0,1,1,0
vɛːʁent,1,0,1,1,0
vɛʁktsɔœk,1,0,1,1,0
vɛʁme,1,0,1,1,0
vɛstn,1,0,1,1,0
vɪntɐ,1,0,1,1,0
voːnʊŋ,1,0,1,1,0
vɔlke,1,0,1,1,0
vɔxe,1,0,1,1,0
vʊndɐ,1,0,1,1,0
vʊste,1,0,1,1,0
vʏnʃn,1,0,1,1,0
vaːʁ,1,0,1,1,0
vaɛç,1,0,1,1,0
vant,1,0,1,1,0
vaʁʊm,1,0,1,1,0
vaʁiiːʁen,1,0,1,1,0
